data,cidade,eh_feriado,temperatura_max,precipitacao_mm,dia_chuvoso,mare_ideal_piscinas
2026-09-11,Porto de Galinhas,0,28.4,1.9,0,1
2026-09-12,Porto de Galinhas,0,27.8,4.1,0,1
2026-09-13,Porto de Galinhas,0,27.4,2.4,0,1
2026-09-14,Porto de Galinhas,0,26.9,0.2,0,1
2026-09-15,Porto de Galinhas,0,28.0,0.3,0,1
2026-09-16,Porto de Galinhas,0,28.2,0.0,0,1
2026-09-17,Porto de Galinhas,0,28.1,0.4,0,1
2026-09-18,Porto de Galinhas,0,27.1,4.6,0,1
2026-09-19,Porto de Galinhas,0,26.8,5.2,0,1
2026-09-20,Porto de Galinhas,0,27.6,3.8,0,1
2026-09-21,Porto de Galinhas,0,27.8,3.4,0,0
2026-09-22,Porto de Galinhas,0,27.9,0.0,0,0
2026-09-23,Porto de Galinhas,0,28.1,0.0,0,0
2026-09-24,Porto de Galinhas,0,27.7,1.2,0,0
2026-09-25,Porto de Galinhas,0,27.7,0.6,0,0
2026-09-11,Maragogi,0,27.4,0.5,0,1
2026-09-12,Maragogi,0,27.2,4.2,0,1
2026-09-13,Maragogi,0,26.9,0.0,0,1
2026-09-14,Maragogi,0,26.5,0.4,0,1
2026-09-15,Maragogi,0,27.1,0.8,0,1
2026-09-16,Maragogi,0,27.6,0.1,0,1
2026-09-17,Maragogi,0,27.2,0.6,0,1
2026-09-18,Maragogi,0,26.7,3.8,0,1
2026-09-19,Maragogi,0,26.4,6.8,0,1
2026-09-20,Maragogi,0,26.9,3.6,0,1
2026-09-21,Maragogi,0,27.1,2.6,0,0
2026-09-22,Maragogi,0,26.5,2.4,0,0
2026-09-23,Maragogi,0,27.3,0.0,0,0
2026-09-24,Maragogi,0,27.9,0.6,0,0
2026-09-25,Maragogi,0,27.1,2.0,0,0
2026-09-11,Pipa,0,29.0,2.8,0,1
2026-09-12,Pipa,0,28.2,3.3,0,1
2026-09-13,Pipa,0,28.7,0.9,0,1
2026-09-14,Pipa,0,28.4,0.2,0,1
2026-09-15,Pipa,0,28.4,1.7,0,1
2026-09-16,Pipa,0,27.7,0.6,0,1
2026-09-17,Pipa,0,28.3,1.1,0,1
2026-09-18,Pipa,0,27.9,5.2,0,1
2026-09-19,Pipa,0,28.2,4.6,0,1
2026-09-20,Pipa,0,27.6,7.8,0,1
2026-09-21,Pipa,0,27.5,3.8,0,0
2026-09-22,Pipa,0,27.2,1.8,0,0
2026-09-23,Pipa,0,28.3,0.0,0,0
2026-09-24,Pipa,0,28.1,0.0,0,0
2026-09-25,Pipa,0,28.2,3.0,0,0
2026-09-11,Joao Pessoa,0,28.9,2.5,0,1
2026-09-12,Joao Pessoa,0,27.7,4.1,0,1
2026-09-13,Joao Pessoa,0,27.8,1.2,0,1
2026-09-14,Joao Pessoa,0,28.6,0.3,0,1
2026-09-15,Joao Pessoa,0,29.5,0.6,0,1
2026-09-16,Joao Pessoa,0,28.3,1.5,0,1
2026-09-17,Joao Pessoa,0,27.9,2.3,0,1
2026-09-18,Joao Pessoa,0,28.0,4.6,0,1
2026-09-19,Joao Pessoa,0,28.3,5.8,0,1
2026-09-20,Joao Pessoa,0,27.3,10.2,1,1
2026-09-21,Joao Pessoa,0,27.6,3.8,0,0
2026-09-22,Joao Pessoa,0,27.4,0.0,0,0
2026-09-23,Joao Pessoa,0,28.3,0.0,0,0
2026-09-24,Joao Pessoa,0,28.1,0.8,0,0
2026-09-25,Joao Pessoa,0,27.8,7.0,0,0
2026-09-11,Natal,0,29.2,1.7,0,1
2026-09-12,Natal,0,28.8,2.8,0,1
2026-09-13,Natal,0,30.1,0.0,0,1
2026-09-14,Natal,0,29.4,0.0,0,1
2026-09-15,Natal,0,29.5,0.3,0,1
2026-09-16,Natal,0,29.2,0.3,0,1
2026-09-17,Natal,0,29.1,0.0,0,1
2026-09-18,Natal,0,27.9,3.2,0,1
2026-09-19,Natal,0,28.7,2.0,0,1
2026-09-20,Natal,0,27.7,4.0,0,1
2026-09-21,Natal,0,29.0,0.4,0,0
2026-09-22,Natal,0,28.2,0.6,0,0
2026-09-23,Natal,0,29.5,0.0,0,0
2026-09-24,Natal,0,29.5,0.0,0,0
2026-09-25,Natal,0,29.7,0.6,0,0
